question;id;element_id;answer_start;answer
In welchem Ort ist der Job Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;100000000;8;0;Hamburg
Wo ist der Job Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;100000001;8;0;Hamburg
Wo kann man  Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse arbeiten?;100000002;8;0;Hamburg
Wo gibt es Arbeit als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;100000003;8;0;Hamburg
Wer sucht nach einer Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;100000004;7;0;Unlimited Jobs GmbH
Welche Firma stellt Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse an?;100000005;7;0;Unlimited Jobs GmbH
Wie heisst die Firma die einen Job als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse anbietet?;100000006;7;0;Unlimited Jobs GmbH
Nenne die Firma, die eine Stelle als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse bewirbt.;100000007;7;0;Unlimited Jobs GmbH
Was fuer einen Job bietet die Firma Unlimited Jobs GmbH an?;100000008;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Als was kann ich bei Unlimited Jobs GmbH arbeiten?;100000009;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Wonach sucht Unlimited Jobs GmbH?;;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Wen stellt Unlimited Jobs GmbH ein?;;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
In welchem Ort ist der Job Mitarbeiter (gn) Reisebüro?;;23;0;Marsberg, Sauerland
Wo ist der Job Mitarbeiter (gn) Reisebüro?;;23;0;Marsberg, Sauerland
Wo kann man  als Mitarbeiter (gn) Reisebüro arbeiten?;;23;0;Marsberg, Sauerland
Wo gibt es Arbeit als Mitarbeiter (gn) Reisebüro?;;23;0;Marsberg, Sauerland
Wer sucht nach einem Mitarbeiter (gn) Reisebüro?;;22;0;Bankpower GmbH
Welche Firma stellt Mitarbeiter (gn) Reisebüro an?;;22;0;Bankpower GmbH
Wie heisst die Firma die einen Job als Mitarbeiter (gn) Reisebüro anbietet?;;22;0;Bankpower GmbH
