question;id;element_id;answer_start;answer
In welchem Ort ist der Job Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;jo100000100000;8;0;Hamburg
Wo ist der Job Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;jo100000100001;8;0;Hamburg
Wo kann man  Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse arbeiten?;jo100000100002;8;0;Hamburg
Wo gibt es Arbeit als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;jo100000100003;8;0;Hamburg
Wer sucht nach einer Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse?;jo100000100004;7;0;Unlimited Jobs GmbH
Welche Firma stellt Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse an?;jo100000100005;7;0;Unlimited Jobs GmbH
Wie heisst die Firma die einen Job als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse anbietet?;jo100000100006;7;0;Unlimited Jobs GmbH
Nenne die Firma, die eine Stelle als Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse bewirbt.;jo100000100007;7;0;Unlimited Jobs GmbH
Was für einen Job bietet die Firma Unlimited Jobs GmbH an?;jo100000100008;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Als was kann ich bei Unlimited Jobs GmbH arbeiten?;jo100000100009;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Wonach sucht Unlimited Jobs GmbH?;jo100000100010;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
Wen stellt Unlimited Jobs GmbH ein?;jo100000100011;6;0;Koordinator*in / Sachbearbeiter*in zur Erstellung der Budgetergebnisse
In welchem Ort ist der Job Mitarbeiter (gn) Reisebüro?;jo100000100012;23;0;Marsberg, Sauerland
Wo ist der Job Mitarbeiter (gn) Reisebüro?;jo100000100013;23;0;Marsberg, Sauerland
Wo kann man  als Mitarbeiter (gn) Reisebüro arbeiten?;jo100000100014;23;0;Marsberg, Sauerland
Wo gibt es Arbeit als Mitarbeiter (gn) Reisebüro?;jo100000100015;23;0;Marsberg, Sauerland
Wer sucht nach einem Mitarbeiter (gn) Reisebüro?;jo100000100016;22;0;Bankpower GmbH
Welche Firma stellt Mitarbeiter (gn) Reisebüro an?;jo100000100017;22;0;Bankpower GmbH
Wie heisst die Firma die einen Job als Mitarbeiter (gn) Reisebüro anbietet?;jo100000100018;22;0;Bankpower GmbH
Nenne die Firma, die eine Stelle als Mitarbeiter (gn) Reisebüro bewirbt.;jo100000100019;22;0;Bankpower GmbH
Was für einen Job bietet die Bankpower GmbH an?;jo100000100020;21;0;Mitarbeiter (gn) Reisebüro
